fecha,identificativo de ticket,ubicación,item,categoría,precio,url
15/12/2023 13:13,3112-013-378825,C/ TETUÁN S/N 23700 LINARES,MORTADELA ACEITUNAS,Charcutería y quesos,1.29,https://tienda.mercadona.es/product/59335/mortadela-con-aceitunas-hacendado-lonchas-paquete
15/12/2023 13:13,3112-013-378825,C/ TETUÁN S/N 23700 LINARES,SALCHICHAS PACK-4,Charcutería y quesos,2.25,https://tienda.mercadona.es/product/59066/bacon-hacendado-cintas-pack-2
15/12/2023 13:13,3112-013-378825,C/ TETUÁN S/N 23700 LINARES,Q RALLADO EMMENTAL,otros,1.63,URL no encontrada
15/12/2023 13:13,3112-013-378825,C/ TETUÁN S/N 23700 LINARES,BOLSA PLASTICO,otros,0.15,URL no encontrada
15/12/2023 13:13,3112-013-378825,C/ TETUÁN S/N 23700 LINARES,BARRA DE PAN,Panadería y pastelería,0.48,https://tienda.mercadona.es/product/82322/pan-molde-blanco-sin-corteza-hacendado-paquete
12/01/2024 20:04,3112-014-366455,C/ TETUÁN S/N 23700 LINARES,ROLLO COCINA JUMBO,Limpieza y hogar,3.35,https://tienda.mercadona.es/product/49619/papel-hogar-compacto-absorbente-bosque-verde-paquete
12/01/2024 20:04,3112-014-366455,C/ TETUÁN S/N 23700 LINARES,ROLLO COCINA JUMBO,Limpieza y hogar,3.35,https://tienda.mercadona.es/product/49619/papel-hogar-compacto-absorbente-bosque-verde-paquete
12/01/2024 20:04,3112-014-366455,C/ TETUÁN S/N 23700 LINARES,EMPANADILLAS ATUN,Congelados,1.9,https://tienda.mercadona.es/product/63407/empanadillas-atun-hacendado-ultracongeladas-caja
12/01/2024 20:04,3112-014-366455,C/ TETUÁN S/N 23700 LINARES,HIELO CUBITO 2KG,Congelados,0.85,https://tienda.mercadona.es/product/64126/cubos-hielo-paquete
12/01/2024 20:04,3112-014-366455,C/ TETUÁN S/N 23700 LINARES,VELA VAINILLA,Limpieza y hogar,1.85,https://tienda.mercadona.es/product/72675/vela-perfumada-vainilla-bosque-verde-vaso-cristal-caja
12/01/2024 20:04,3112-014-366455,C/ TETUÁN S/N 23700 LINARES,COCKTAIL NATURAL,Aperitivos,2.5,https://tienda.mercadona.es/product/86809/cocktail-natural-hacendado-paquete
12/01/2024 20:04,3112-014-366455,C/ TETUÁN S/N 23700 LINARES,COCKTAIL RUMBA,Aperitivos,1.6,https://tienda.mercadona.es/product/80450/cocktail-rumba-hacendado-compuesto-cacahuetes-maiz-frito-pipas-girasol-pipas-calabaza-paquete
